Disease	Drug
Chronic pain 	pf614
Fear-related disorder 	zl006
Hypertension 	enalapril
Immune System disease 	tucaresol
Type-2 diabetes 	bi-44847
Bordetella pertussis infection 	pentacel
Schizophrenia 	bromperidol
Blood transfusion 	human hemoglobin
Solid tumour/cancer 	arq-171
Bacterial infection 	cs-461
Solid tumour/cancer 	rg6180
Intractable insomnia 	secobarbital
Solid tumour/cancer 	hll1-fab-a3b3
Muscle wasting disease 	nk-110
Oropharyngeal cancer 	tt12
Cervical cancer 	tt12
Human immunodeficiency virus infection 	gs-8374
Chronic obstructive pulmonary disease 	umeclidinium
Hepatocellular carcinoma 	pan-22
Glioblastoma multiforme 	nmhss1-1
Adrenoleukodystrophy 	lenti-d
Motor neurone disease 	tdi-0057
Glaucoma/ocular hypertension 	de-117
Alzheimer disease 	amyloid beta oligomers
Melanoma 	hbi-8000
Merkel cell carcinoma 	hbi-8000
Renal cell carcinoma 	hbi-8000
Solid tumour/cancer 	hbi-8000
Non-small-cell lung cancer 	hbi-8000
Cytomegalovirus infection 	hpmpa prodrugs
Solid tumour/cancer 	obp-801
Solid tumour/cancer 	enocitabine
Chronic myelogenous leukaemia 	nilotinib
Immune System disease 	mam-05.200
Acute and chronic heart failure 	tonapofylline
Metastatic cancer 	pmid25684022-compound-wo2011137219 37(4-6)
Solid tumour/cancer 	pmid25684022-compound-wo2011137219 37(4-6)
Bipolar disorder 	pf-4455242
Nausea and vomiting 	y-25130
Diabetic complication 	ms-806
Alzheimer disease 	mitoglitazone
Type-2 diabetes 	mitoglitazone
Sjogren syndrome 	gsk2618960
Multiple sclerosis 	gsk2618960
Solid tumour/cancer 	pha-665752
Obesity 	imidazole derivative 7
Female sexual arousal dysfunction 	pf-271836
Constipation 	spiru-211
Yellow fever virus infection 	yellow fever vaccine
Type-2 diabetes 	jnj-54728518
Multiple sclerosis 	tv-1390
Crohn disease 	citric acid, magnesium oxide, sodium picosulfate
Leber congenital amaurosis 	qlt-091001
Restless legs syndrome 	qlt-091001
Retinitis pigmentosa 	qlt-091001
Corneal disease 	de-105
Skin disease 	1-hydroxyl-3,5-bis(4-hydroxylstyryl)benzene derivative 3
Muscular wasting 	1-hydroxyl-3,5-bis(4-hydroxylstyryl)benzene derivative 3
Acromegaly 	rg3806
Respiratory tract inflammation 	rp-3120
Hepatitis C virus infection 	albinterferon alfa-2b
Diabetic complication 	ncp-004
Sleep-wake disorder 	pruvanserin
Rhinitis 	cyproheptadine
Chronic HCV-1 infection 	simeprevir
Dengue fever 	dengvaxia
Obesity 	azetidine-1-carboxamide derivative 3
Solid tumour/cancer 	enadenotucirev
Aspergillosis 	mat-401
Typhoid fever 	nalidixic acid + ampicillin
Inflammation 	vt-384
Otitis externa 	fst-201
Carcinoid syndrome 	rev-598
Ocular inflammation 	besifloxacin
Heart disease 	human chorionic gonadotropin
Diabetic retinopathy 	vitreosolve
Disuse muscle atrophy 	ly2495655
Gastrointestinal disease 	sr-58894a
Factor IX deficiency 	aav2-hfix16
Nicotine dependence 	tg-3030
Solid tumour/cancer 	kin-4064
Solid tumour/cancer 	anti-tubulin agents
Asthma 	bavituximab
Hepatocellular carcinoma 	bavituximab
Non-small-cell lung cancer 	bavituximab
Recurrent glioblastoma 	bavituximab
Hypertension 	l-159689
Human immunodeficiency virus infection 	tnx-355
Solid tumour/cancer 	terameprocol
Alzheimer disease 	asp3662
Anxiety disorder 	ly288513
Heart failure 	etomoxir
Diabetic nephropathy 	sar-407899
Microvascular angina 	sar-407899
Muscle atrophy 	amg 745
Alopecia 	hsc660
Rheumatoid arthritis 	cenplacel-l
Asthma 	ki-0905
Thrombosis 	dextran
Reperfusion injury 	kai-9803/ bms-875944
Pain 	nm-007-lenk
Diffuse large B-cell lymphoma 	coltuximab ravtansine
Non-hodgkin lymphoma 	coltuximab ravtansine
Gastric adenocarcinoma 	pat-sc1
Deep vein thrombosis 	desirudin
Anxiety disorder 	rpr-107836
Lymphoma 	rg7741
Solid tumour/cancer 	rg7741
leukaemia 	lg-740
Depression 	trazodone
Vibrio cholerae infection 	cholera vaccine
Non-small-cell lung cancer 	nedaplatin
Factor VIII deficiency 	n8-gp
Multiple myeloma 	carfilzomib
Solid tumour/cancer 	lipoteichoic acid
Friedreich's ataxia 	rt-001
Acne vulgaris 	rt-001
Epilepsy 	inhaled alprazolam
Radiographic contrast medium 	acetrizoate sodium
Solid tumour/cancer 	anti-dll-4 mab
Pain 	meperidine
Fibromyalgia 	imc-1
Breast cancer 	pd-332991
Schizophrenia 	pd-332991
Solid tumour/cancer 	pd-332991
Major depressive disorder 	f-98214
Leukodystrophy 	hgt-2610
Hypertension 	saralasin acetate
Fibrosis 	pxs-25
Fungal infection 	rwj-49968
Solid tumour/cancer 	xgp-215
Lung disease 	peg. adrenomedullin
Diabetic nephropathy 	vpi-2690b
Bleeding disorder 	vatreptacog alfa (activated)
Solid tumour/cancer 	p-3378
Coronary artery disease 	zk-200775
Myocardial infarction 	myoblast cell transplantation
Solid tumour/cancer 	tnf-peg-20
Schizoaffective disorder 	sb222200
Schizophrenia 	sb222200
Solid tumour/cancer 	99mtc-ec-dg
Schizophrenia 	e-1455
Solid tumour/cancer 	ff21101
Pain 	phenazopyridine
Solid tumour/cancer 	trx-818
Human immunodeficiency virus infection 	ae-h vaccine
Neuropathic pain 	yt-1006
Essential tremor or related tremors 	allopregnanolone
Postpartum depression 	allopregnanolone
Status epilepticus seizure 	allopregnanolone
Depression 	allopregnanolone
Congestive heart failure 	hydroflumethiazide
Coeliac disease 	alv-003
Pain 	pain therapy, sephoris
Heart disease 	evp-1001-1
Hyperlipidaemia 	bezafibrate
Solid tumour/cancer 	bst-204
Type-2 diabetes 	bms-903452
Recurrent glioblastoma 	opdivo
Renal cell carcinoma 	opdivo
Esophageal cancer 	opdivo
Gastric adenocarcinoma 	opdivo
Triple negative breast cancer 	opdivo
Amnesia 	abs-401
Deep vein thrombosis 	blx-155
Epileptic seizures 	mb-03966
Sarcoidosis 	juvidex
Non-hodgkin lymphoma 	dcds0780a
Pulmonary disease 	psx-4206
Colorectal cancer 	conatumumab
Liver cancer 	cmc-001
Chronic obstructive pulmonary disease 	relvar/breo
Macular degeneration 	human retinal pigment epithelial cell therapy
Neuropathic pain 	acv-1
Major depressive disorder 	sazetidine-a
Solid tumour/cancer 	histidase-peg-20
Chronic obstructive pulmonary disease 	pregabalin
Non-insulin dependent diabetes 	as-1907417
Functional dyspepsia 	ym443
Encephalitis virus infection 	v-3526
Bacterial infection 	bc-3781 intravenous
Asthma 	gsk-2239633
Solid tumour/cancer 	mnlp-462a
Solid tumour/cancer 	diflomotecan
Obesity 	pyrazole derivative 40
Crohn disease 	beta-cyclodextrin conjugate derivative 3
Urinary tract infection 	beta-cyclodextrin conjugate derivative 3
Ulcerative colitis 	beta-cyclodextrin conjugate derivative 3
Solid tumour/cancer 	gsk-923295
Solid tumour/cancer 	mn-201
Obesity 	pyrazole derivative 53
Virus infection 	isis 2922 + foscarnet 3' -azido-3'-deoxythymidine 2'-3'-dideoxycytidine
Gram-positive bacterial infection 	balofloxacin
Solid tumour/cancer 	mva-bn brachyury
Rheumatoid arthritis 	az-4217
Urinary tract infection 	pmid26651364-compound-109
Crohn disease 	pmid26651364-compound-109
Ulcerative colitis 	pmid26651364-compound-109
Respiratory disease 	pf-4764793
Acne vulgaris 	drug 1940029
Rheumatoid arthritis 	cat-2200
Autoimmune diabetes 	pma-511r
Hyperlipidaemia 	incrementally modified drug
Ocular hypertension 	al-54478
Inflammation 	halobetasol propionate
Central nervous system disease 	elb-we-007
Reperfusion injury 	hrc-102
Arthritis 	manoalide
Insulin-dependent diabetes 	sar-288233
Hypertension 	tjn-220
Human immunodeficiency virus infection 	bms-182193
Cognitive impairment 	s-35678
Female infertility 	pgl-1001
Hypertension 	cr-3834
Osteoporosis 	etidronate disodium
Heart failure 	br6819
Complete androgen insensitivity syndrome 	iti-214
Immune dysregulation 	iti-214
Parkinson disease 	iti-214
Schizophrenia 	iti-214
Angina pectoris 	f-15845
Irritable bowel syndrome 	tegaserod
Clostridium infection 	rbx2660
Neuropathic pain 	n-acylpiperidine ether derivative 1
Pruritus 	n-acylpiperidine ether derivative 1
Solid tumour/cancer 	n-acylpiperidine ether derivative 1
Chronic pain 	n-acylpiperidine ether derivative 1
Thymic cancer 	n-acylpiperidine ether derivative 1
Vibrio cholerae infection 	orc-vax
Epilepsy 	e2730
Human immunodeficiency virus infection 	q-102
Cardiovascular disease 	oxy-111a
Macular degeneration 	oc-10x
Proliferative diabetic retinopathy 	oc-10x
Bacterial infection 	pulvomycin
Solid tumour/cancer 	cxr-1002
Lysosomal storage disease 	nz-1002
HER2-positive breast cancer 	hm-78136b
Non-small-cell lung cancer 	hm-78136b
Solid tumour/cancer 	hm-78136b
Diabetic complication 	sb-219994
Alzheimer disease 	sel-103
Retinitis pigmentosa 	eos-013
Poison intoxication 	serpacwa
Virus infection 	t-cell receptors
Neurological disorder 	traxoprodil mesylate
Nausea 	dolasetron
Bacterial infection 	sar-215500
Opioid dependence 	aiko-152
Non-small-cell lung cancer 	xb-387
Ischemic heart disease 	mgn-7455
Vascular disease 	vpc-94075
Solid tumour/cancer 	mt-110
Asthma 	lm-1376
Solid tumour/cancer 	triplex-forming oligonucleotides
Non-small-cell lung cancer 	cp-547632
Ovarian cancer 	cp-547632
Solid tumour/cancer 	cp-547632
Breast cancer 	trc105
Fallopian tube cancer 	trc105
Gestational trophoblastic neoplasia 	trc105
Angiosarcoma 	trc105
Hemangiosarcoma 	trc105
Hepatocellular carcinoma 	trc105
Lung cancer 	trc105
Macular degeneration 	trc105
Ovarian cancer 	trc105
Peritoneal cancer 	trc105
Recurrent glioblastoma 	trc105
Renal cell carcinoma 	trc105
Soft tissue sarcoma 	trc105
Cardiac arrhythmias 	l-702958
Inflammation 	ucb-1277763
Albinism 	pmid26815044-compound-h
Ephelides 	pmid26815044-compound-h
Melasma 	pmid26815044-compound-h
Menkes disease 	pmid26815044-compound-h
Senile lentigines 	pmid26815044-compound-h
Arthritis 	bms-345541
Autoimmune disease 	avp-13546
Dementia 	og-19
Ischemic stroke 	lt-3001
Multiple myeloma 	cart-19 t cells
Type-2 diabetes 	exenatide
Fungal infection 	anti-mrsa
Immune System disease 	bms-936557
Osteoporosis 	nandrolone
Cancer related pain 	pmid25666693-compound-2
Inflammatory pain 	pmid25666693-compound-2
Neuropathic pain 	pmid25666693-compound-2
Osteoarthritis pain 	pmid25666693-compound-2
Cervical cancer 	anti-mesothelin car transduced pbl
Mesothelioma 	anti-mesothelin car transduced pbl
Ovarian cancer 	anti-mesothelin car transduced pbl
Pancreatic cancer 	anti-mesothelin car transduced pbl
Lung cancer 	anti-mesothelin car transduced pbl
Breast cancer 	foxy-5
Crohn disease 	ccx-025
Breast cancer 	thiotepa
Human immunodeficiency virus infection 	dolutegravir
Solid tumour/cancer 	tl-1892
Bladder cancer 	ogx-427 + paclitaxel
Breast cancer 	ogx-427 + paclitaxel
Ovarian cancer 	ogx-427 + paclitaxel
Prostate cancer 	ogx-427 + paclitaxel
Lung cancer 	ogx-427 + paclitaxel
Fungal infection 	caspofungin
Human immunodeficiency virus infection 	bms-663068
Tobacco dependence 	sela-070
Anxiety disorder 	umespirone
Influenza virus infection 	seasonal influenza vaccine
Pulmonary disease 	wilvent
Menopausal and postmenopausal disorder 	estrone
Influenza virus infection 	h2n3 mo 2003/aa
Irritable bowel syndrome 	da-6886
Rubella prophylaxis 	mmr vaccine
Measles 	mmr vaccine
Mumps virus infection 	mmr vaccine
Anal fistula 	autologous adipose-derived stem cells
Solid tumour/cancer 	salmonella typhimurium a1-r
Lung cancer 	l-dos47
Non-small-cell lung cancer 	l-dos47
Type-2 diabetes 	glycogen synthase kinase-3 inhibitors
Parkinson disease 	neurocell-pd
Fibrosis 	fluorofenidone
Central nervous system disease 	p28 cell penetrating peptide
Inflammation 	cde-5110
Acidosis 	sodium lactate
Chronic heart failure 	neucardin
Heart failure 	neucardin
Thrombosis 	bi-11634
Solid tumour/cancer 	anti fgfr4 mab program
Hepatitis 	cyclic compound 3
Human immunodeficiency virus infection 	cyclic compound 3
Infectious disease 	cyclic compound 3
Solid tumour/cancer 	cyclic compound 3
Prostate cancer 	tarp peptide vaccines
Malaria 	oz277
Coronary artery disease 	umirolimus
Solid tumour/cancer 	bay1129980
Herniation disk 	condoliase
Autoimmune diabetes 	at-007
Cerebrovascular ischaemia 	ns-638
Solid tumour/cancer 	heteroaryl-carboxamide derivative 3
Metastatic cancer 	heteroaryl-carboxamide derivative 3
Leishmania infection 	oxaborole
Bacterial infection 	bk-218
Non-hodgkin lymphoma 	car-t cells targeting cd22
Dermatitis 	bf/pc-13
Wound healing 	evitar
Anemia 	roledumab
Solid tumour/cancer 	3f8
Heart failure 	mpc-150-im
Type-2 diabetes 	dance-501
Type-1 diabetes 	dance-501
Prostate cancer 	abarelix
Hepatitis B virus infection 	hbsag-hbig complex
Psoriasis vulgaris 	fezakinumab
Solid tumour/cancer 	yp-009
Multiple sclerosis 	baclofen
Fragile X syndrome 	baclofen
Molybdenum cofactor deficiency 	alxn1101
Pain 	mcp-201
Obesity 	mch antagonist
Mycobacterium infection 	bv-6481
Osteoporosis 	mbc-31
leukaemia 	eb-1,2,3 mab
Huntington disease 	sbim therapeutics
Prostate cancer 	anticancer therapeutic
Candidiasis 	terconazole
Type-2 diabetes 	db-900
Migraine 	cgrp-a2 radioligand agent
Pain 	nalbuphine hydrochloride er
Inflammation 	npc-15199
Psoriasis vulgaris 	leo-90110
Maroteaux-lamy syndrome 	adenovirus gene therapy (maroteux-lamy syndrome)
Peripheral arterial disease 	sar-106881
Depression 	duloxetine
Neoplasm 	antibodie derivative 10
Angiogenesis disorder 	antibodie derivative 10
Influenza virus infection 	nd-1.1
Fungal infection 	terbinafine
Human immunodeficiency virus infection 	bromo benzyl ether derivative 1
Hepatitis 	bromo benzyl ether derivative 1
Infectious disease 	bromo benzyl ether derivative 1
Solid tumour/cancer 	bromo benzyl ether derivative 1
Alzheimer disease 	azd3293
Schizophrenia 	risperidone
Mesothelioma 	bnc-105
Attention deficit hyperactivity disorder 	spn-812
Human immunodeficiency virus infection 	vm-1500
Back pain 	axomadol
Diffuse large B-cell lymphoma 	blincytoblinatumomab
Asthma 	prs-060
Retinitis pigmentosa 	bik-381
Lysosomal storage disease 	ux-002
Influenza virus infection 	bta-929
Neuromuscular disease 	human embryonic stem cell-derived motor neuron progenitors
Alzheimer disease 	mimovax
Neuropathic pain 	gaba mimetics
Asthma 	hl-028
Allergy 	birch peptide allergy desensitization agent
Diabetic complication 	pro-islet
Heart arrhythmia 	44-bu
Solid tumour/cancer 	ec0225
Bacterial infection 	cefonicid
Hypertension 	tcv-295
Ear disease 	carbamide peroxide
Acute myeloid leukaemia 	sgn-cd123a
Human immunodeficiency virus infection 	imm-252
Prostate cancer 	lxt-101
Erythema 	v-101
Solid tumour/cancer 	tyrophostins
Malnutrition 	adenosine triphosphate
Mycobacterium infection 	tuberculosis therapy, ithemba
Cognitive impairment 	ic-041
Multiple myeloma 	ygalo
Duchenne dystrophy 	srp-5051
Non-small-cell lung cancer 	ose2101
Breast cancer 	ose2101
Solid tumour/cancer 	fg-020318
Cognitive impairment 	bimu-1
Diabetic complication 	p-1736
Melasma 	benzothiazoline derivative 1
Menkes disease 	benzothiazoline derivative 1
Albinism 	benzothiazoline derivative 1
Ephelides 	benzothiazoline derivative 1
Senile lentigines 	benzothiazoline derivative 1
Fungal infection 	lb-2.1
Diabetic complication 	ly-2599506
Solid tumour/cancer 	rg6061
Asthma 	vr315
Diabetic complication 	sar164653
Renal cell carcinoma 	stf-62247
Melanoma 	novovac-m1
Prostate disease 	fr-146687
Ulcer 	ecabet sodium
Xerophthalmia 	ecabet sodium
Skin infection 	chgn111
Staphylococcus infection 	exeporfinium chloride topical
Psoriasis vulgaris 	e6201
Ulcerative colitis 	pmid26651364-compound-114
Urinary tract infection 	pmid26651364-compound-114
Crohn disease 	pmid26651364-compound-114
Diabetic complication 	pl-611
Bronchitis 	zp-010
Parkinson disease 	igiv3i grifols 10%
Chronic lymphocytic leukaemia 	acp-196
Cervical cancer 	kls-hpv
Malnutrition 	l-tyrosine
Hypoplasminogenemia 	plasminogen intravenous
Congenital plasminogen activator inhibitor type 1 deficiency 	plasminogen intravenous
Multiple myeloma 	bcma car t cells
Haematological malignancy 	tti-621
Melanoma 	tti-621
Solid tumour/cancer 	tti-621
Squamous cell carcinoma 	tti-621
Merkel cell carcinoma 	tti-621
Mycosis fungoides 	tti-621
Oral candidiasis 	pac-113
Solid tumour/cancer 	medi0680
Prostate cancer 	odm-201
leukaemia 	bendamustine hydrochloride
Bacterial pneumonia 	me1100
Autoimmune diabetes 	elnd-002
Parkinson disease 	pk-236
Allergy 	chanllergen
Solid tumour/cancer 	apit
Acute lymphoblastic leukaemia 	teniposide
Spinal cord injury 	grnopc-1
Ischemic stroke 	sch-900271
Osteoarthritis 	ep4-r antagonist
Pain 	ep4-r antagonist
Lymphatic disease 	ethiodized oil
Contraception 	male contraceptive
Cystic fibrosis 	abbv-2222
Melanoma 	nktr-262
Solid tumour/cancer 	nktr-262
Cutaneous squamous cell carcinoma 	cll442
Autoimmune diabetes 	tsk-204
Hepatocellular carcinoma 	phy-906
Solid tumour/cancer 	vaccine, cancer, wistar institute of anatomy & biology
Pancreatic cancer 	encapsulated live cells converting ifosfamide
Vomiting 	smc-0001 prodrug
Solid tumour/cancer 	dendrogenin a
Cancer related pain 	pmid25666693-compound-150
Inflammatory pain 	pmid25666693-compound-150
Neuropathic pain 	pmid25666693-compound-150
Osteoarthritis pain 	pmid25666693-compound-150
Glioblastoma multiforme 	parvovirus h-1
Melanoma 	autologous cell vaccine
Solid tumour/cancer 	som-0002
Psychotic disorder 	rgh-2721
Sepsis 	cephapirin
Eczema 	aob102
Rheumatoid arthritis 	pxs-2076
Neuropathic pain 	nt-001
Inflammatory bowel disease 	dpc-333
Rheumatoid arthritis 	dpc-333
Major depressive disorder 	pf-06290510
Staphylococcus infection 	pf-06290510
Urinary incontinence 	mddr 287569
Flavivirus infection 	mva-bn df
Nosocomial infection 	cse-1034
Solid tumour/cancer 	cgp-53716
Influenza virus infection 	live attenuated h1n1 pandemic influenza vaccine
Bleeding disorder 	antifibrinolytic agents
Alzheimer disease 	rg6100
Plaque psoriasis 	jte-051
Allergy 	jte-051
Solid tumour/cancer 	rav-12
Iron deficiency 	ferrous citrate, fe-59
Muscle spasm 	vsn-16r
Ovarian cancer 	ovarian dendritic cell-based vaccine
Peritoneal cancer 	ovarian dendritic cell-based vaccine
Anxiety disorder 	abio 09-01
Osteoporosis 	el-715
Cognitive impairment 	asp4345
Anxiety disorder 	mglur5 antagonists (anxiety), novartis
Anemia 	bbt-009
Sleep-wake disorder 	luzindole
Allergic rhinitis 	ragweed extract
Melasma 	resorcinol compound 17
Menkes disease 	resorcinol compound 17
Senile lentigines 	resorcinol compound 17
Albinism 	resorcinol compound 17
Ephelides 	resorcinol compound 17
Hypertension 	cr-2991
Multiple myeloma 	amg 224
Colorectal cancer 	rnf43-721
Atrophy 	bn-ao-014
Human immunodeficiency virus infection 	bb-2275
Melanoma 	immunovex-timelan
Solid tumour/cancer 	ec-8042
Parkinson disease 	cvt-301
Hypertension 	jtp-2724
Alzheimer disease 	vanutide cridificar
Liver failure 	alf-5755
Cognitive impairment 	dabelotine
Prostate cancer 	nal-glu
Analgesia 	(+-)-tetrahydropalmatine
Anxiety disorder 	(+-)-tetrahydropalmatine
Irritability 	(+-)-tetrahydropalmatine
Solid tumour/cancer 	opb-51602
Attention deficit hyperactivity disorder 	antistasin
Meniere disease 	diphenhydramine
Macular degeneration 	agn-150998
Premenstrual syndrome 	uc-2024
Arteriosclerosis 	bay-1006451
Immune System disease 	bucillamine
Autoimmune diabetes 	lx-2932
Urinary incontinence 	vanilloid vr1 receptor antagonists
Respiratory syncytial virus infection 	hnk-20
Diabetic nephropathy 	ocaperidone
Idiopathic pulmonary fibrosis 	ocaperidone
Schizophrenia 	ocaperidone
